Identifiant,Ancien_nom_officiel,Identifiant_du_nom_officiel,Nom_officiel,Type_entite,Latitude,Longitude,Feuillet_cartographique,Code_geographique,Municipalite,Designation,Date_decision,IDE,Origine_linguistique,Partie_specifique,Partie_generique,Sexe
100227,"Lambert, Lac",14,"Aaron, Lac",Lac,47.253450,-71.828493,21M05,34902,Lac-Blanc,Territoire non organisé,1981-04-02,56a59820bbe411d892e2080020a0f4c9,Français,Lambert,Lac,
4604,"Bee, Lac",63,"Abeilles, Lac des",Lac,47.069491,-72.529999,31P02,35902,Lac-Masketsi,Territoire non organisé,1971-06-18,5c9314d4bbe411d892e2080020a0f4c9,Anglais,Bee,Lac,
29133,"Huard, Lac",102,"Abies, Lac de l'",Lac,46.193333,-74.847499,31J02,78120,Labelle,Municipalité,1969-06-06,6086e45fbbe411d892e2080020a0f4c9,Français,Huard,Lac,
71271,"Ramezay, Lac",102,"Abies, Lac de l'",Lac,46.193333,-74.847499,31J02,78120,Labelle,Municipalité,1975-12-02,6086e45fbbe411d892e2080020a0f4c9,Inconnu,Ramezay,Lac,
115,"Abitibi",,,Division de recensement,48.000000,-76.000000,32C01,89040,Senneterre,Ville,1994-08-19,397fb5e83c28488fbb063427376e03a6,Algonquin,Abitibi,,
39445,"Martin, Lac",149,"Abri, Lac de l'",Lac,49.632221,-73.918888,32H12,91902,Lac-Ashuapmushuan,Territoire non organisé,1972-03-28,662359dcbbe411d892e2080020a0f4c9,Français,Martin,Lac,
103104,"Cayens, Anse des",169,"Acadiens, Anse des",Anse,49.633054,-62.664166,12E10,98020,L'Île-d'Anticosti,Municipalité,1981-04-02,67eb96c7bbe411d892e2080020a0f4c9,Français,Cayens,Anse des,
61718,"Tapp, Lac",216,"Achille, Lac",Lac,47.526727,-71.529404,21M12,21904,Lac-Jacques-Cartier,Territoire non organisé,1971-06-01,6f875fc5bbe411d892e2080020a0f4c9,Anglais,Tapp,Lac,
1686,"Antoine, Lac",219,"Achille, Lac à",Lac,46.701666,-70.720277,21L10,19045,Saint-Nérée-de-Bellechasse,Municipalité,1987-09-11,6fab3b78bbe411d892e2080020a0f4c9,Français,Antoine,Lac,
23753,"Françoise, Lac",298,"Adélard, Lac",Lac,49.547499,-68.206111,22F09,96902,Rivière-aux-Outardes,Territoire non organisé,1972-12-12,7aee1384bbe411d892e2080020a0f4c9,Français,Françoise,Lac,
73879,"Pitre, Lac à",323,"Adolphe, Lac",Lac,46.791666,-72.975832,31I15,36033,Shawinigan,Ville,1977-02-18,7f106d1cbbe411d892e2080020a0f4c9,Français,Pitre,Lac à,
104539,"Okai Sakahikan",329,"Adonis, Lac",Lac,47.422457,-74.669135,31O07,79910,Lac-Bazinet,Territoire non organisé,1981-07-09,7f4e8791bbe411d892e2080020a0f4c9,Attikamek,Okai Sakahikan,,
104538,"Okai Cipicic",330,"Adonis, Rivière",Rivière,47.445858,-74.652869,31O07,79910,Lac-Bazinet,Territoire non organisé,1981-07-09,80ce70d2bbe411d892e2080020a0f4c9,Attikamek,Okai Cipicic,,
50873,"Potvin, Lac",375,"Agattegiche, Lac",Lac,47.880277,-71.919166,21M13,21904,Lac-Jacques-Cartier,Territoire non organisé,1971-06-01,86462149bbe411d892e2080020a0f4c9,Français,Potvin,Lac,
51624,"Quabie, Lac",408,"Agonès, Lac",Lac,47.182224,-77.758400,31N04,84902,Lac-Nilgaut,Territoire non organisé,1973-01-16,8c125a55bbe411d892e2080020a0f4c9,Inconnu,Quabie,Lac,
502,"Aiglon, Île à l'",466,"Aigle, Île à l'",Île,45.705555,-73.466943,31H11,60013,Repentigny,Ville,1973-11-20,94357ac1bbe411d892e2080020a0f4c9,Français,Aiglon,Île à l',
20036,"Eagle, Lac",476,"Aigle, Lac de l'",Lac,46.101944,-74.119166,31J01,78802,Doncaster,Réserve indienne,1969-01-24,948dfb08bbe411d892e2080020a0f4c9,Anglais,Eagle,Lac,
343391,"Kiniw Sìbì",484,"Aigle, Rivière de l'",Rivière,46.449166,-76.043610,31K08,83088,Montcerf-Lytton,Municipalité,1999-04-30,965bb62fbbe411d892e2080020a0f4c9,Algonquin,Kiniw Sìbì,,
79902,"Laurin, Lac",506,"Aiglon, Lac de l'",Lac,49.833610,-73.889999,32H13,91902,Lac-Ashuapmushuan,Territoire non organisé,1972-03-28,983f1c40bbe411d892e2080020a0f4c9,Français,Laurin,Lac,
184421,"Aiguebelle, Pointe d'",525,"D'Aiguebelle, Pointe",Pointe,52.525277,-78.712500,33D10,99060,Eeyou Istchee Baie-James,Gouvernement régional,1986-12-18,9bab6c42bbe411d892e2080020a0f4c9,Français,Aiguebelle,Pointe d',
81334,"Linda, Lac",584,"Airvault, Lac",Lac,47.193627,-76.920671,31N02,83902,Lac-Pythonga,Territoire non organisé,1973-01-16,a4d4da23bbe411d892e2080020a0f4c9,Français,Linda,Lac,
84406,"Indien, Lac",626,"Akwan, Lac",Lac,46.456388,-74.091944,31J08,62912,Saint-Guillaume-Nord,Territoire non organisé,1978-08-17,ab43e2e8bbe411d892e2080020a0f4c9,Français,Indien,Lac,
81219,"Poulin, Lac",635,"Alain, Lac",Lac,46.828043,-71.496863,21L14,23027,Québec,Ville,1977-08-08,ab6af2eebbe411d892e2080020a0f4c9,Français,Poulin,Lac,
53648,"Rivière Rocheuse, Troisième lac de la",638,"Alain, Lac",Lac,48.797221,-69.588888,22C13,95902,Lac-au-Brochet,Territoire non organisé,1974-08-02,acfcdd91bbe411d892e2080020a0f4c9,Français,Rivière Rocheuse,Troisième lac de la,
100226,"Grandbois, Petit lac",664,"Alba, Lac",Lac,47.024574,-72.120691,31P01,34135,Rivière-à-Pierre,Municipalité,1981-04-02,b09b8837bbe411d892e2080020a0f4c9,Français,Grandbois,Petit lac,
77294,"Wilson, Lac",690,"Albert, Lac",Lac,46.503611,-73.829999,31I12,62080,Saint-Zénon,Municipalité,1978-08-17,b4260e9dbbe411d892e2080020a0f4c9,Anglais,Wilson,Lac,
61385,"Moïse, Table à",721,"Albert Nord, Sommet",Sommet,48.935383,-66.167263,22B16,04902,Mont-Albert,Territoire non organisé,1990-04-25,b8d231a3bbe411d892e2080020a0f4c9,Français,Moïse,Table à,
726,"Albertville",,,Village,48.324999,-67.361388,22B06,07025,Albertville,Municipalité,1997-12-12,b378e6ea323d475582380926d72bcb42,Français,Albertville,,
757,"Alder, Lac",,,Partie de réservoir,53.623610,-77.290555,33F11,99060,Eeyou Istchee Baie-James,Gouvernement régional,2001-06-05,c40d31b693544908a2c3e4f3d5137c42,Anglais,Alder,Lac,
243425,"Saint-Amand, Deuxième lac",772,"Aldor, Lac",Lac,47.204647,-79.132868,31M03,85020,Béarn,Municipalité,1989-11-16,be3dd328bbe411d892e2080020a0f4c9,Français,Saint-Amand,Deuxième lac,
100225,"Petit Canot, Lac",798,"Alex, Lac",Lac,47.131554,-71.983460,21M04,34904,Linton,Territoire non organisé,1981-04-02,c1bd0eedbbe411d892e2080020a0f4c9,Français,Petit Canot,Lac,
71847,"Smith, Lac à",821,"Alexandre, Lac",Lac,46.264166,-75.553611,31J05,79015,Lac-du-Cerf,Municipalité,1976-06-14,c51d780ebbe411d892e2080020a0f4c9,Anglais,Smith,Lac à,
104409,"Kwekosipi",833,"Alexandrie, Rivière",Rivière,47.184816,-74.304491,31O01,62920,Baie-Atibenne,Territoire non organisé,1981-07-09,c71a8099bbe411d892e2080020a0f4c9,Attikamek,Kwekosipi,,
