Origine_linguistique,Type_entite,Count - Origine_linguistique
Abénaquis,Barrage,2
,Batture,1
,Bureau de poste,1
,Circonscription électorale,2
,Circonscription foncière,4
,District électoral,3
,Division de recensement,3
,Gorges,1
,Île,1
,Municipalité de canton,1
,Municipalité de village,3
,Parc national,1
,Place,1
,Pointe,1
,Pont,1
,Ruisseau,1
,Zone d'aménagement et de conservation,1
Algonquin,Aéroport,1
,Arrondissement historique,1
,Baie,5
,Barrage,5
,Chenal,1
,Chute,1
,Circonscription foncière,4
,Collines,2
,Communauté urbaine,1
,Confluent,1
,Dépôt forestier,1
,Digues,3
,District électoral,1
,Division de recensement,4
,Hameau,3
,Île,3
,Lac,71
,Lacs,1
,Lieu-dit,1
,Milieu humide,1
,Mont,2
,Municipalité,1
,Municipalité de canton,1
,Municipalité de paroisse,1
,Municipalité de village,1
,Parc industriel,1
,Partie de réservoir,1
,Pointe,2
,Portage,7
,Rapides,1
,Région administrative,1
,Réserve indienne,3
,Réservoir,1
,Rivière,20
,Ruisseau,19
,Section de cours d'eau,30
,Territoire non organisé,1
,Village,1
,Zone d'aménagement et de conservation,8
Anglais,Anse,28
,Arrondissement,6
,Baie,56
,Banc de sable,2
,Barrage,22
,Barre,1
,Bassin de sédimentation,2
,Bassin portuaire,1
,Bâtiment,1
,Batture,1
,Belvédère,1
,Bibliothèque,2
,Bien patrimonial,1
,Bureau de poste,15
,Canton,2
,Cap,9
,Caserne de pompiers,2
,Caverne,1
,Centrale hydroélectrique,2
,Centre de villégiature,5
,Centre éducatif forestier,1
,Chenal,6
,Chute,10
,Chutes,4
,Circonscription électorale,5
,Circonscription foncière,13
,Colline,13
,Collines,1
,Corniche,1
,Corniches,1
,Courant,1
,Cours d'eau agricole,5
,Crevasse,3
,Dépôt forestier,2
,District électoral,42
,Division de recensement,13
,Estran,1
,Étang,33
,Falaise,3
,Fosse à saumon,6
,Hameau,26
,Haut-fond,9
,Havre,1
,Île,59
,Îles,8
,Îlot,8
,Îlots,1
,Jardin zoologique,1
,Lac,945
,Lacs,18
,Lieu-dit,15
,Méandre,1
,Milieu humide,4
,Mont,27
,Municipalité,26
,Municipalité de canton,60
,Municipalité de cantons unis,8
,Municipalité de paroisse,3
,Municipalité de village,30
,Municipalité de village cri,1
,Municipalité de village nordique,1
,Municipalité régionale de comté,2
,Niche,1
,Parc linéaire,1
,Parc public,35
,Parc régional,1
,Parc technologique,1
,Paroisse,3
,Partie de lac,2
,Partie de réservoir,3
,Passe,7
,Place commémorative,1
,Plage,5
,Plaines,1
,Pointe,46
,Pont,15
,Pont couvert,5
,Presqu'île,3
,Quai,1
,Rapide,4
,Rapides,5
,Ravin,1
,Récif,4
,Récifs,2
,Réserve de chasse et de pêche,2
,Réserve faunique,1
,Réserve indienne,3
,Réservoir,1
,Rivière,35
,Roche,1
,Rocher,11
,Rochers,2
,Ruisseau,138
,Secteur,9
,Secteur résidentiel,4
,Section de cours d'eau,2
,Site historique,3
,Sommet,3
,Square,2
,Station de métro,3
,Village,14
,Village cri,1
,Ville,14
,Zone d'exploitation contrôlée,1
Attikamek,Baie,5
,Barrage,1
,Centrale thermique,1
,Chutes,1
,Confluent,1
,Île,1
,Lac,108
,Lacs,2
,Parc technologique,1
,Pointe,1
,Portage,2
,Réserve indienne,1
,Réservoir,1
,Rivière,9
,Rocher,1
,Ruisseau,3
,Territoire non organisé,1
Autre,Anse,1
,Baie,3
,Barrage,1
,Canton,1
,Chute,1
,Colline,1
,Côte orographique,1
,Cours d'eau agricole,1
,District électoral,15
,Division de recensement,1
,Étang,9
,Étangs,1
,Hameau,2
,Île,4
,Lac,38
,Lacs,4
,Lieu-dit,1
,Mont,2
,Municipalité,3
,Municipalité de village,1
,Municipalité régionale de comté,1
,Parc public,7
,Partie de diocèse,1
,Pointe,1
,Pont,1
,Rapides,1
,Réserve indienne,1
,Rivière,2
,Ruisseau,5
,Secteur résidentiel,1
Cri,Baie,9
,Circonscription foncière,1
,Colline,1
,District électoral,3
,Division de recensement,1
,Halte routière,1
,Île,6
,Îles,2
,Lac,22
,Langue de terre,1
,Milieu humide,1
,Municipalité de village cri,2
,Partie de diocèse,1
,Partie de réservoir,8
,Passe,3
,Pointe,3
,Pont,3
,Portage,1
,Rapides,1
,Rivière,6
,Village cri,2
,Ville,1
Français,Aérodrome,2
,Aéroport,4
,Agglomération,1
,Amphithéâtre,1
,Anse,79
,Archidiocèse,1
,Arrêt ferroviaire,2
,Arrondissement,21
,Arrondissement historique,9
,Arrondissement historique et naturel,1
,Arrondissement naturel,4
,Baie,111
,Banc de pêche,1
,Banc de sable,5
,Bancs de sable,1
,Barrage,94
,Barrages,4
,Base de plein air,3
,Base militaire,1
,Batture,2
,Battures,5
,Belvédère,2
,Bibliothèque,1
,Bien patrimonial,4
,Bois,3
,Bras,1
,Bureau de poste,79
,Butte,2
,Camp,10
,Canal,3
,Canton,47
,Cap,31
,Caserne de pompiers,4
,Caverne,3
,Centrale hydroélectrique,7
,Centrale nucléaire,1
,Centrale thermique,2
,Centre communautaire,1
,Centre culturel,1
,Centre d'interprétation de la nature,1
,Centre de ski,3
,Centre de villégiature,34
,Centre éducatif forestier,6
,Centre sportif,1
,Chenal,15
,Chute,27
,Chutes,11
,Circonscription électorale,44
,Circonscription foncière,51
,Cité,6
,Colline,15
,Collines,2
